dataset,decision_tree,bagging,random_forest,gradient_boosting
c300_d100,0.645,0.65,0.59,0.835
c300_d1000,0.661,0.7795,0.6625,0.977
c300_d5000,0.7559,0.8727,0.7862,0.9874
c500_d100,0.68,0.67,0.67,0.865
c500_d1000,0.6765,0.8195,0.756,0.984
c500_d5000,0.7899,0.8742,0.8545,0.9897
c1000_d100,0.725,0.84,0.855,0.925
c1000_d1000,0.787,0.9165,0.9195,0.988
c1000_d5000,0.8507,0.9353,0.9616,0.9958
c1500_d100,0.835,0.975,0.97,0.99
c1500_d1000,0.912,0.976,0.9885,0.997
c1500_d5000,0.947,0.9833,0.9947,0.9995
c1800_d100,0.95,0.97,0.995,0.99
c1800_d1000,0.973,0.991,0.997,0.998
c1800_d5000,0.9864,0.9963,0.9997,0.9998
